time_alpha,amp_alpha,time_gamma,amp_gamma
0.801749,-1.000000,0,0
0,0,0.801749,-1.000000
0.804420,-1.000000,0,0
0,0,0.804420,-1.000000
0.807091,-1.000000,0,0
0,0,0.807091,-1.000000
0.809762,-1.000000,0,0
0,0,0.809762,-1.000000
0.812434,-1.000000,0,0
0,0,0.812434,-1.000000
0.815105,-1.000000,0,0
0,0,0.815105,-1.000000
0.817776,-1.000000,0,0
0,0,0.817776,-1.000000
0.820447,-1.000000,0,0
0,0,0.820447,-1.000000
0.823118,-1.000000,0,0
0,0,0.823118,-1.000000
0.825789,-1.000000,0,0
0,0,0.825789,-1.000000
0,0,0.828460,-1.000000
0.828460,-1.000000,0,0
0.831132,-1.000000,0,0
0,0,0.831132,-1.000000
0.833803,-1.000000,0,0
0,0,0.833803,-1.000000
0.836474,-1.000000,0,0
0,0,0.836474,-1.000000
0.839145,-1.000000,0,0
0,0,0.839145,-1.000000
0.841817,-1.000000,0,0
0,0,0.841817,-1.000000
0,0,0.844488,-1.000000
0.844488,-1.000000,0,0
0.847159,-1.000000,0,0
0,0,0.847159,-1.000000
0.849830,-1.000000,0,0
0,0,0.849830,-1.000000
0.852501,-1.000000,0,0
0,0,0.852501,-1.000000
0.855172,-1.000000,0,0
0,0,0.855172,-1.000000
0.857844,-1.000000,0,0
0,0,0.857844,-1.000000
0.860515,-1.000000,0,0
0,0,0.860515,-1.000000
0.863186,-1.000000,0,0
0,0,0.863186,-1.000000
0.865857,-1.000000,0,0
0,0,0.865857,-1.000000
0.868528,-1.000000,0,0
0,0,0.868528,-1.000000
0.871200,-1.000000,0,0
0,0,0.871200,-1.000000
0.873871,-1.000000,0,0
0,0,0.873871,-1.000000
0.876542,-1.000000,0,0
0,0,0.876542,-1.000000
0.879213,-1.000000,0,0
0,0,0.879213,-1.000000
0.881884,-1.000000,0,0
0,0,0.881884,-1.000000
0.884556,-1.000000,0,0
0,0,0.884556,-1.000000
0.887227,-1.000000,0,0
0,0,0.887227,-1.000000
0.889898,-1.000000,0,0
0,0,0.889898,-1.000000
0.892569,-1.000000,0,0
0,0,0.892569,-1.000000
0.895240,-1.000000,0,0
0,0,0.895240,-1.000000
0.897912,-1.000000,0,0
0,0,0.897912,-1.000000
0.900583,-1.000000,0,0
0,0,0.900583,-1.000000
0.903254,-1.000000,0,0
0,0,0.903254,-1.000000
0.905925,-1.000000,0,0
0,0,0.905925,-1.000000
0.908596,-1.000000,0,0
0,0,0.908596,-1.000000
0.911267,-1.000000,0,0
0,0,0.911267,-1.000000
0.913939,-1.000000,0,0
0,0,0.913939,-1.000000
0.916610,-1.000000,0,0
0,0,0.916610,-1.000000
0.919281,-1.000000,0,0
0,0,0.919281,-1.000000
0,0,0.921952,-1.000000
0.921952,-1.000000,0,0
0.924623,-1.000000,0,0
0,0,0.924623,-1.000000
0.927294,-1.000000,0,0
0,0,0.927294,-1.000000
0.929966,-1.000000,0,0
0,0,0.929966,-1.000000
0,0,0.932637,-1.000000
0.932637,-1.000000,0,0
0.935308,-1.000000,0,0
0,0,0.935308,-1.000000
0.937979,-1.000000,0,0
0,0,0.937979,-1.000000
0.940650,-1.000000,0,0
0,0,0.940650,-1.000000
0.943321,-1.000000,0,0
0,0,0.943321,-1.000000
0.945993,-1.000000,0,0
0,0,0.945993,-1.000000
0.948664,-1.000000,0,0
0,0,0.948664,-1.000000
0,0,0.951335,-1.000000
0.951335,-1.000000,0,0
0.954006,-1.000000,0,0
0,0,0.954006,-1.000000
0.956677,-1.000000,0,0
0,0,0.956677,-1.000000
0.959349,-1.000000,0,0
0,0,0.959349,-1.000000
0.962020,-1.000000,0,0
0,0,0.962020,-1.000000
0.964691,-1.000000,0,0
0,0,0.964691,-1.000000
0.967362,-1.000000,0,0
0,0,0.967362,-1.000000
0.970033,-1.000000,0,0
0,0,0.970033,-1.000000
0.972704,-1.000000,0,0
0,0,0.972704,-1.000000
0.975376,-1.000000,0,0
0,0,0.975376,-1.000000
0.978047,-1.000000,0,0
0,0,0.978047,-1.000000
0.980718,-1.000000,0,0
0,0,0.980718,-1.000000
0.983389,-1.000000,0,0
0,0,0.983389,-1.000000
0.986060,-1.000000,0,0
0,0,0.986060,-1.000000
0.988732,-1.000000,0,0
0,0,0.988732,-1.000000
0,0,0.991403,-1.000000
0.991403,-1.000000,0,0
0.994074,-1.000000,0,0
0,0,0.994074,-1.000000
0.996745,-1.000000,0,0
0,0,0.996745,-1.000000
0.999416,-1.000000,0,0
0,0,0.999416,-1.000000
1.002088,-1.000000,0,0
0,0,1.002088,-1.000000
1.004759,-1.000000,0,0
0,0,1.004759,-1.000000
1.007430,-1.000000,0,0
0,0,1.007430,-1.000000
1.010101,-1.000000,0,0
0,0,1.010101,-1.000000
1.012772,-1.000000,0,0
0,0,1.012772,-1.000000
0,0,1.015444,-1.000000
1.015444,-1.000000,0,0
1.018115,-1.000000,0,0
0,0,1.018115,-1.000000
1.020786,-1.000000,0,0
0,0,1.020786,-1.000000
1.023457,-1.000000,0,0
0,0,1.023457,-1.000000
1.026128,-1.000000,0,0
0,0,1.026128,-1.000000
0,0,1.028799,-1.000000
1.028799,-1.000000,0,0
1.031471,-1.000000,0,0
0,0,1.031471,-1.000000
1.034142,-1.000000,0,0
0,0,1.034142,-1.000000
1.036813,-1.000000,0,0
0,0,1.036813,-1.000000
1.039484,-1.000000,0,0
0,0,1.039484,-1.000000
1.042155,-1.000000,0,0
0,0,1.042155,-1.000000
1.044827,-1.000000,0,0
0,0,1.044827,-1.000000
0,0,1.047498,-1.000000
1.047498,-1.000000,0,0
1.050169,-1.000000,0,0
0,0,1.050169,-1.000000
1.052840,-1.000000,0,0
0,0,1.052840,-1.000000
1.055511,-1.000000,0,0
0,0,1.055511,-1.000000
1.058183,-1.000000,0,0
0,0,1.058183,-1.000000
1.060854,-1.000000,0,0
0,0,1.060854,-1.000000
1.063525,-1.000000,0,0
0,0,1.063525,-1.000000
1.066196,-1.000000,0,0
0,0,1.066196,-1.000000
1.068867,-1.000000,0,0
0,0,1.068867,-1.000000
0,0,1.071538,-1.000000
1.071538,-1.000000,0,0
1.074210,-1.000000,0,0
0,0,1.074210,-1.000000
1.076881,-1.000000,0,0
0,0,1.076881,-1.000000
1.079552,-1.000000,0,0
0,0,1.079552,-1.000000
1.082223,-1.000000,0,0
0,0,1.082223,-1.000000
0,0,1.084894,-1.000000
1.084894,-1.000000,0,0
1.087565,-1.000000,0,0
0,0,1.087565,-1.000000
1.090237,-1.000000,0,0
0,0,1.090237,-1.000000
1.092908,-1.000000,0,0
0,0,1.092908,-1.000000
1.095579,-1.000000,0,0
0,0,1.095579,-1.000000
1.098250,-1.000000,0,0
0,0,1.098250,-1.000000
1.100921,-1.000000,0,0
0,0,1.100921,-1.000000
1.103593,-1.000000,0,0
0,0,1.103593,-1.000000
1.106264,-1.000000,0,0
0,0,1.106264,-1.000000
1.108935,-1.000000,0,0
0,0,1.108935,-1.000000
1.111606,-1.000000,0,0
0,0,1.111606,-1.000000
1.114277,-1.000000,0,0
0,0,1.114277,-1.000000
1.116949,-1.000000,0,0
0,0,1.116949,-1.000000
1.119620,-1.000000,0,0
0,0,1.119620,-1.000000
1.122291,-1.000000,0,0
0,0,1.122291,-1.000000
1.124962,-1.000000,0,0
0,0,1.124962,-1.000000
1.127633,-1.000000,0,0
0,0,1.127633,-1.000000
1.130305,-1.000000,0,0
0,0,1.130305,-1.000000
1.132976,-1.000000,0,0
0,0,1.132976,-1.000000
1.135647,-1.000000,0,0
0,0,1.135647,-1.000000
0,0,1.138318,-1.000000
1.138318,-1.000000,0,0
1.140989,-1.000000,0,0
0,0,1.140989,-1.000000
1.143660,-1.000000,0,0
0,0,1.143660,-1.000000
1.146332,-1.000000,0,0
0,0,1.146332,-1.000000
0,0,1.149003,-1.000000
1.149003,-1.000000,0,0
1.151674,-1.000000,0,0
0,0,1.151674,-1.000000
1.154345,-1.000000,0,0
0,0,1.154345,-1.000000
1.157016,-1.000000,0,0
0,0,1.157016,-1.000000
1.159687,-1.000000,0,0
0,0,1.159687,-1.000000
1.162359,-1.000000,0,0
0,0,1.162359,-1.000000
1.165030,-1.000000,0,0
0,0,1.165030,-1.000000
1.167701,-1.000000,0,0
0,0,1.167701,-1.000000
0,0,1.170372,-1.000000
1.170372,-1.000000,0,0
1.173043,-1.000000,0,0
0,0,1.173043,-1.000000
1.175715,-1.000000,0,0
0,0,1.175715,-1.000000
1.178386,-1.000000,0,0
0,0,1.178386,-1.000000
1.181057,-1.000000,0,0
0,0,1.181057,-1.000000
1.183728,-1.000000,0,0
0,0,1.183728,-1.000000
1.186399,-1.000000,0,0
0,0,1.186399,-1.000000
0,0,1.189071,-1.000000
1.189071,-1.000000,0,0
1.191742,-1.000000,0,0
0,0,1.191742,-1.000000
1.194413,-1.000000,0,0
0,0,1.194413,-1.000000
0,0,1.197084,-1.000000
1.197084,-1.000000,0,0
1.199755,-1.000000,0,0
0,0,1.199755,-1.000000
1.202427,-1.000000,0,0
0,0,1.202427,-1.000000
1.205098,-1.000000,0,0
0,0,1.205098,-1.000000
1.207769,-1.000000,0,0
0,0,1.207769,-1.000000
1.210440,-1.000000,0,0
0,0,1.210440,-1.000000
1.213111,-1.000000,0,0
0,0,1.213111,-1.000000
1.215782,-1.000000,0,0
0,0,1.215782,-1.000000
1.218454,-1.000000,0,0
0,0,1.218454,-1.000000
1.221125,-1.000000,0,0
0,0,1.221125,-1.000000
1.223796,-1.000000,0,0
0,0,1.223796,-1.000000
1.226467,-1.000000,0,0
0,0,1.226467,-1.000000
1.229138,-1.000000,0,0
0,0,1.229138,-1.000000
1.231810,-1.000000,0,0
0,0,1.231810,-1.000000
